name,rating,price,url
Jonathan Viera Ramos,82,4200,https://www.futbin.com/18/player/389/Jonathan%20Viera
Santiago Cazorla González,83,4000,https://www.futbin.com/18/player/267/Santi%20Cazorla
Julian Draxler,84,4000,https://www.futbin.com/18/player/248/Draxler
Jordan Lukaku,77,3800,https://www.futbin.com/18/player/1246/Lukaku
José Ignacio Fernández Iglesias,81,3800,https://www.futbin.com/18/player/494/Nacho%20Fern%C3%A1ndez
Dimitri Payet,84,3800,https://www.futbin.com/18/player/227/Payet
Morgan Sanson,81,3700,https://www.futbin.com/18/player/506/Sanson
Jonathan Tah,82,3700,https://www.futbin.com/18/player/420/Tah
Fábio Henrique Tavares,83,3700,https://www.futbin.com/18/player/316/Fabinho
Kevin Volland,80,3700,https://www.futbin.com/18/player/621/Volland
Daniele De Rossi,83,3500,https://www.futbin.com/18/player/263/De%20Rossi
Ronaldo Aparecido Rodrigues,82,3500,https://www.futbin.com/18/player/349/Naldo
Gianluigi Donnarumma,82,3500,https://www.futbin.com/18/player/428/Donnarumma
Naby Keïta,83,3500,https://www.futbin.com/18/player/323/Ke%C3%AFta
Manuel Lanzini,81,3500,https://www.futbin.com/18/player/465/Lanzini
Quincy Promes,82,3500,https://www.futbin.com/18/player/414/Promes
Taison Barcellos Freda,82,3500,https://www.futbin.com/18/player/374/Taison
Saúl Ñíguez Esclápez,82,3400,https://www.futbin.com/18/player/412/Sa%C3%BAl
Felipe Anderson Pereira Gomes,81,3300,https://www.futbin.com/18/player/496/Felipe%20Anderson
Bernardo Mota Carvalho e Silva,84,3300,https://www.futbin.com/18/player/253/Bernardo%20Silva
Marlos Romero Bonfim,82,3200,https://www.futbin.com/18/player/373/Marlos
Kevin Mirallas,81,3200,https://www.futbin.com/18/player/447/Mirallas
Loïc Perrin,83,3200,https://www.futbin.com/18/player/271/Perrin
Marouane Fellaini,79,3200,https://www.futbin.com/18/player/700/Fellaini
Danilo Luiz da Silva,78,3200,https://www.futbin.com/18/player/957/Danilo
Shkodran Mustafi,84,3100,https://www.futbin.com/18/player/241/Mustafi
Marcel Schmelzer,80,3100,https://www.futbin.com/18/player/593/Schmelzer
Stephan El Shaarawy,80,3000,https://www.futbin.com/18/player/598/El%20Shaarawy
Ömer Toprak,83,3000,https://www.futbin.com/18/player/289/Toprak
Davy Klaassen,82,3000,https://www.futbin.com/18/player/400/Klaassen
Eric Dier,82,3000,https://www.futbin.com/18/player/395/Dier
Mario Balotelli,82,3000,https://www.futbin.com/18/player/371/Balotelli
Sergej Milinković-Savić,80,3000,https://www.futbin.com/18/player/653/Milinkovi%C4%87-Savi%C4%87
Luis Miguel Afonso Fernandes,82,3000,https://www.futbin.com/18/player/388/Pizzi
Adriano Correia Claro,78,3000,https://www.futbin.com/18/player/872/Adriano
Sergio Asenjo Andrés,84,3000,https://www.futbin.com/18/player/230/Sergio%20Asenjo
Franck Yannick Kessié,76,3000,https://www.futbin.com/18/player/1476/Kessi%C3%A9
Bruno da Silva Peres,78,3000,https://www.futbin.com/18/player/1002/Bruno%20Peres
Nicolás Otamendi,83,3000,https://www.futbin.com/18/player/298/Otamendi
Francesco Acerbi,82,3000,https://www.futbin.com/18/player/391/Acerbi
Kevin-Prince Boateng,80,3000,https://www.futbin.com/18/player/566/Boateng
Timo Horn,84,2900,https://www.futbin.com/18/player/244/Horn
Gelson Dany Batalha Martins,81,2900,https://www.futbin.com/18/player/517/Gelson%20Martins
Allan Marques Loureiro,80,2900,https://www.futbin.com/18/player/620/Allan
Rui Pedro dos Santos Patrício,83,2900,https://www.futbin.com/18/player/281/Rui%20Patr%C3%ADcio
Jean Michaël Seri,82,2900,https://www.futbin.com/18/player/422/Seri
Seydou Doumbia,79,2800,https://www.futbin.com/18/player/721/Doumbia
